  -60.0599968402778      -6.092678025575898E-009 -3.151850831708452E-009
  -59.8920030625000      -1.685346601298768E-009 -1.081182896719015E-009
  -59.7240028194444      -4.853526727416484E-011 -1.917239048638247E-010
  -59.5560025763889      -3.768576304538208E-011 -2.479102802778604E-010
  -59.3880023263889      -3.818777117168873E-011 -3.189980637254017E-010
  -59.2200020833333      -4.170734173634624E-011 -3.116711974134841E-010
  -59.0520018402778      -4.359382379957408E-011 -3.153112429773633E-010
  -58.8840015972222      -4.649533051088178E-011 -3.349712575739305E-010
  -58.7160013541667      -4.864911905081447E-011 -3.496934565470308E-010
  -58.5480011041667      -5.024030223227326E-011 -3.651525167772697E-010
  -58.3800008611111      -5.120813506449015E-011 -3.851024529672678E-010
  -58.2120006180556      -5.225462849249150E-011 -4.041690523655641E-010
  -58.0440003750000      -5.383145567681799E-011 -4.166494941705143E-010
  -57.8760001319444      -5.580335781159696E-011 -4.238407607829886E-010
  -57.7079998819444      -5.783605792753067E-011 -4.331250066573021E-010
  -57.5399996388889      -5.963182966594146E-011 -4.488798656687851E-010
  -57.3719993958333      -6.112437662298019E-011 -4.675572976314619E-010
  -57.2039991527778      -6.250139049027055E-011 -4.840317194871453E-010
  -57.0359989097222      -6.400639619402796E-011 -4.976653948602513E-010
  -56.8679986597222      -6.571438108765356E-011 -5.100195371856332E-010
  -56.6999984166667      -6.737058455564946E-011 -5.202994230393415E-010
  -56.5319981736111      -6.882377473449312E-011 -5.271104894841101E-010
  -56.3639979305556      -7.026633144619928E-011 -5.339259789087960E-010
  -56.1959976875000      -7.207515273741061E-011 -5.476769862453812E-010
  -56.0279974375000      -7.429723337777786E-011 -5.693285227220053E-010
  -55.8599971944444      -7.649379067920365E-011 -5.891858174112114E-010
  -55.6919969513889      -7.813650532414575E-011 -5.958801878664843E-010
  -55.5240031736111      -7.922258270999745E-011 -5.897403338139570E-010
  -55.3560029305556      -8.040118813090122E-011 -5.836484063796380E-010
  -55.1880026875000      -8.237532831039426E-011 -5.895792258646296E-010
  -55.0200024444444      -8.516421772351515E-011 -6.069720357468371E-010
  -54.8520021944444      -8.808892652084089E-011 -6.253829941636618E-010
  -54.6840019513889      -9.052267720135821E-011 -6.355465478528413E-010
