  -60.0599968402778       2.031547487168718E-018  2.052039619695091E-018
  -59.8920030625000      -1.008519182694815E-012 -5.347885602554838E-012
  -59.7240028194444       1.376512112953065E-014  4.992355378403748E-014
  -59.5560025763889       4.114438938415331E-015  2.555774232958445E-014
  -59.3880023263889      -3.073081506857455E-015 -1.456439158133183E-016
  -59.2200020833333      -1.756533667914060E-015 -1.081762455497001E-014
  -59.0520018402778      -1.291750460854609E-015 -2.229004762070081E-014
  -58.8840015972222      -1.145173728351911E-015 -3.233929576954068E-014
  -58.7160013541667      -2.957574187134257E-016 -3.806628424270870E-014
  -58.5480011041667       4.131073165300099E-016 -3.876596474736267E-014
  -58.3800008611111       1.484705873820902E-015 -3.294454529062443E-014
  -58.2120006180556       2.340685992719475E-015 -2.247556650296566E-014
  -58.0440003750000       3.217102390311281E-015 -9.694702986990846E-015
  -57.8760001319444       3.960165304593385E-015  1.661591655199820E-015
  -57.7079998819444       4.730970902026989E-015  9.861941233140522E-015
  -57.5399996388889       5.205304449443675E-015  1.477569442133121E-014
  -57.3719993958333       5.196915310818449E-015  1.790002951576232E-014
  -57.2039991527778       4.606590396151452E-015  2.106509455216370E-014
  -57.0359989097222       3.676595233914995E-015  2.555479124749746E-014
  -56.8679986597222       2.558780973316442E-015  3.108563249856452E-014
  -56.6999984166667       1.335030942411725E-015  3.583959911198472E-014
  -56.5319981736111       5.294372464389673E-017  3.699045150281303E-014
  -56.3639979305556      -1.132573839881884E-015  3.258802996942673E-014
  -56.1959976875000      -2.091072800647881E-015  2.283479438002105E-014
  -56.0279974375000      -2.761210339776506E-015  9.561288485816687E-015
  -55.8599971944444      -3.136700844410890E-015 -4.845305056976771E-015
  -55.6919969513889      -3.211164859670251E-015 -1.794297739528513E-014
  -55.5240031736111      -3.000042184503930E-015 -2.780429180218301E-014
  -55.3560029305556      -2.544228487869923E-015 -3.354658116513388E-014
  -55.1880026875000      -1.899624594898658E-015 -3.524110232126341E-014
  -55.0200024444444      -1.122926652594393E-015 -3.340680038222303E-014
  -54.8520021944444      -2.768021142162772E-016 -2.870578686469437E-014
  -54.6840019513889       5.691363060007874E-016 -2.198311272802518E-014
  -54.5160017083333       1.341653892487324E-015 -1.440006084761621E-014
  -54.3480014652778       1.969473496906399E-015 -7.317375756489971E-015
  -54.1800012222222       2.384823508905674E-015 -1.767654894288221E-015
  -54.0120009722222       2.530430877185746E-015  2.229475345591667E-015
  -53.8440007291667       2.373344375552517E-015  5.852354520820267E-015
  -53.6760004861111       1.917389110802020E-015  1.071667936726664E-014
  -53.5080002430556       1.202730377490325E-015  1.753968850803113E-014
  -53.3400000000000       2.934062361485447E-016  2.518340031961116E-014
  -53.1719997500000      -7.372178939564106E-016  3.081572667860317E-014
  -53.0039995069444      -1.813996131057618E-015  3.126791184460940E-014
  -52.8359992638889      -2.860829293154600E-015  2.490113914275459E-014
  -52.6679990208333      -3.799862842895863E-015  1.267937194060195E-014
  -52.4999987777778      -4.553659029991459E-015 -2.438960686801385E-015
  -52.3319985277778      -5.051756107890179E-015 -1.716665746910680E-014
  -52.1640015208333      -5.241278643184910E-015 -2.916555868461695E-014
  -51.9960012777778      -5.098539844169636E-015 -3.731350271976673E-014
  -51.8280010277778      -4.637514369776376E-015 -4.138649381956681E-014
  -51.6600007847222      -3.911143754402871E-015 -4.167761563830780E-014
  -51.4920005416667      -3.004344692692956E-015 -3.875404577196040E-014
  -51.3240002986111      -2.020419908003628E-015 -3.338600596872589E-014
  -51.1560000555556      -1.064842215035005E-015 -2.655452633251446E-014
  -50.9879998055556      -2.302651092877091E-016 -1.936874838448231E-014
  -50.8199995625000       4.139249721940275E-016 -1.282123659677674E-014
  -50.6519993194444       8.258141405920156E-016 -7.480783700045867E-015
  -50.4839990763889       9.887851278810016E-016 -3.318426860827244E-015
  -50.3159988333333       9.049093905694661E-016  1.730716105756975E-016
  -50.1479985833333       5.872041819410512E-016  3.575494498381360E-015
  -49.9800015763889       5.449480309648854E-017  7.064171477981159E-015
  -49.8120013333333      -6.690367770126595E-016  1.011939555310150E-014
  -49.6440010902778      -1.550521766640725E-015  1.159950180080123E-014
  -49.4760008402778      -2.544619561986617E-015  1.019530552790316E-014
  -49.3080005972222      -3.592946756171175E-015  5.113344264259691E-015
  -49.1400003541667      -4.628054630273840E-015 -3.376675401315291E-015
  -48.9720001111111      -5.580124906620602E-015 -1.392278777116838E-014
  -48.8039998680556      -6.383519545223755E-015 -2.463739990284213E-014
  -48.6359996180556      -6.981617870672054E-015 -3.382242613731357E-014
  -48.4679993750000      -7.330099067988750E-015 -4.044112634518243E-014
  -48.2999991319444      -7.400855737609897E-015 -4.417766431595957E-014
  -48.1319988888889      -7.186967347936317E-015 -4.518727147626876E-014
  -47.9639986458333      -6.708200241386312E-015 -4.377860975073523E-014
  -47.7959983958333      -6.014252253245450E-015 -4.026649837220452E-014
  -47.6280013888889      -5.183429267327826E-015 -3.505664849315826E-014
  -47.4600011458333      -4.315330820273637E-015 -2.881570733637300E-014
  -47.2920008958333      -3.518883291353565E-015 -2.251305229265569E-014
  -47.1240006527778      -2.897925858130158E-015 -1.718363914585678E-014
  -46.9560004097222      -2.538155514574769E-015 -1.345305696993255E-014
  -46.7880001666667      -2.498076200842302E-015 -1.116076662338030E-014
  -46.6199999236111      -2.805131054997822E-015 -9.492428014345966E-015
  -46.4519996736111      -3.456291794572302E-015 -7.630550272164183E-015
  -46.2839994305556      -4.420956412175138E-015 -5.452345384109298E-015
  -46.1159991875000      -5.644420069648464E-015 -3.792084351966490E-015
