  -60.0599968402778      -2.891718033830759E-017 -2.873429954938814E-017
  -59.8920030625000       3.003211771030946E-010  5.236815989966660E-010
  -59.7240028194444      -7.437190162739841E-012 -7.124373277577356E-012
  -59.5560025763889      -5.249212955930054E-012 -6.799549692013094E-012
  -59.3880023263889      -3.007974592255591E-012 -5.705056493656598E-012
  -59.2200020833333      -3.321198803045089E-012 -6.235787439633776E-012
  -59.0520018402778      -3.819699595124083E-012 -6.663274533898552E-012
  -58.8840015972222      -3.729393296691816E-012 -7.064149509504990E-012
  -58.7160013541667      -4.196787447216909E-012 -7.611663795508420E-012
  -58.5480011041667      -4.289938856393400E-012 -7.988699579433891E-012
  -58.3800008611111      -4.665508653527477E-012 -8.529694320572041E-012
  -58.2120006180556      -4.837429472430911E-012 -9.132863527225421E-012
  -58.0440003750000      -5.175595088346404E-012 -9.953542075403319E-012
  -57.8760001319444      -5.423046137632885E-012 -1.083990076849131E-011
  -57.7079998819444      -5.778260171581222E-012 -1.180707093299099E-011
  -57.5399996388889      -6.091963186450424E-012 -1.275696736310258E-011
  -57.3719993958333      -6.457288119730567E-012 -1.369654935044118E-011
  -57.2039991527778      -6.785437978776657E-012 -1.458460076772749E-011
  -57.0359989097222      -7.128625438446450E-012 -1.544484058060773E-011
  -56.8679986597222      -7.448128964893153E-012 -1.626322334857341E-011
  -56.6999984166667      -7.778636141694962E-012 -1.699110029311983E-011
  -56.5319981736111      -8.098348889833364E-012 -1.751802024454035E-011
  -56.3639979305556      -8.418609787685769E-012 -1.778850199495702E-011
  -56.1959976875000      -8.720642662583283E-012 -1.786943464539654E-011
  -56.0279974375000      -9.007653085476449E-012 -1.792844708976012E-011
  -55.8599971944444      -9.271037320571683E-012 -1.810670947065287E-011
  -55.6919969513889      -9.515027183328270E-012 -1.843711061704621E-011
  -55.5240031736111      -9.736413315640826E-012 -1.883567703141328E-011
  -55.3560029305556      -9.937245347547564E-012 -1.916667839469527E-011
  -55.1880026875000      -1.011555222130529E-011 -1.932316257540978E-011
  -55.0200024444444      -1.027362877406015E-011 -1.928194076987999E-011
  -54.8520021944444      -1.041353695030795E-011 -1.910195915966856E-011
  -54.6840019513889      -1.054017030504961E-011 -1.887972003897676E-011
  -54.5160017083333      -1.065741509944204E-011 -1.869580767474346E-011
  -54.3480014652778      -1.076988372574304E-011 -1.858861129410974E-011
  -54.1800012222222      -1.088259565812928E-011 -1.856141979039612E-011
  -54.0120009722222      -1.100253101508572E-011 -1.860456909890670E-011
  -53.8440007291667      -1.113653548350929E-011 -1.870485446794514E-011
  -53.6760004861111      -1.128967113438248E-011 -1.883999783260252E-011
  -53.5080002430556      -1.146456226746838E-011 -1.898364836308684E-011
  -53.3400000000000      -1.166355673015386E-011 -1.913139058926492E-011
  -53.1719997500000      -1.188999357694789E-011 -1.931479930657620E-011
  -53.0039995069444      -1.214719766673319E-011 -1.957459076764228E-011
  -52.8359992638889      -1.243590554900909E-011 -1.991914906816661E-011
  -52.6679990208333      -1.275325246201601E-011 -2.031807144530751E-011
  -52.4999987777778      -1.309371433166217E-011 -2.073539983175370E-011
  -52.3319985277778      -1.345047387719366E-011 -2.116268954228784E-011
  -52.1640015208333      -1.381573491030159E-011 -2.162373716185807E-011
  -51.9960012777778      -1.418066837685174E-011 -2.215781994337137E-011
  -51.8280010277778      -1.453597566514492E-011 -2.279861438940704E-011
  -51.6600007847222      -1.487310131444385E-011 -2.355618406234318E-011
  -51.4920005416667      -1.518523657129741E-011 -2.440471776472603E-011
  -51.3240002986111      -1.546784571968364E-011 -2.528133666987539E-011
  -51.1560000555556      -1.571903534101532E-011 -2.609975351727111E-011
  -50.9879998055556      -1.593993391312779E-011 -2.677498182736481E-011
  -50.8199995625000      -1.613474105818246E-011 -2.724850334723658E-011
  -50.6519993194444      -1.631014247439748E-011 -2.750379034251250E-011
  -50.4839990763889      -1.647423633473122E-011 -2.756845087912096E-011
  -50.3159988333333      -1.663536888319275E-011 -2.750579927180408E-011
  -50.1479985833333      -1.680108919996037E-011 -2.740131049344940E-011
  -49.9800015763889      -1.697719118025851E-011 -2.734822636597125E-011
  -49.8120013333333      -1.716688986044304E-011 -2.743393424143611E-011
  -49.6440010902778      -1.737028180551711E-011 -2.772683416660024E-011
  -49.4760008402778      -1.758423528660426E-011 -2.826311332916086E-011
  -49.3080005972222      -1.780268944632673E-011 -2.903427023657805E-011
  -49.1400003541667      -1.801715794076393E-011 -2.997917180653766E-011
  -48.9720001111111      -1.821751093480984E-011 -3.098736496334686E-011
  -48.8039998680556      -1.839323044225029E-011 -3.191926625819037E-011
  -48.6359996180556      -1.853526966492008E-011 -3.264006368508697E-011
  -48.4679993750000      -1.863805246651626E-011 -3.305281187257325E-011
  -48.2999991319444      -1.870047497330117E-011 -3.311374992882195E-011
  -48.1319988888889      -1.872505733579807E-011 -3.282528251350605E-011
  -47.9639986458333      -1.871552961363989E-011 -3.221955623281059E-011
  -47.7959983958333      -1.867456342368945E-011 -3.135058677488801E-011
  -47.6280013888889      -1.860362428070875E-011 -3.029997327483089E-011
  -47.4600011458333      -1.850555800571967E-011 -2.918303680624219E-011
  -47.2920008958333      -1.838835865222180E-011 -2.813788016448286E-011
  -47.1240006527778      -1.826749362568676E-011 -2.729361614414418E-011
  -46.9560004097222      -1.816481496340339E-011 -2.673289662498434E-011
  -46.7880001666667      -1.810430102878859E-011 -2.647106594235148E-011
  -46.6199999236111      -1.810662994536476E-011 -2.646322336511843E-011
  -46.4519996736111      -1.818501404410147E-011 -2.663188228571974E-011
